"ensembl_gene_id" "external_gene_name" "chromosome_name" "start_position" "end_position" "description"
"ENSXETG00000034356" "" "MT" 1 68 ""
"ENSXETG00000034357" "" "MT" 69 1011 ""
"ENSXETG00000034358" "" "MT" 1012 1081 ""
"ENSXETG00000034359" "" "MT" 1082 2716 ""
"ENSXETG00000034360" "" "MT" 2717 2791 ""
"ENSXETG00000034361" "nd1" "MT" 2792 3759 "mitochondrially encoded NADH dehydrogenase 1 [Source:Xenbase;Acc:XB-GENE-6466716]"
"ENSXETG00000034362" "" "MT" 3760 3830 ""
"ENSXETG00000034363" "" "MT" 3830 3900 ""
"ENSXETG00000034364" "" "MT" 3900 3968 ""
"ENSXETG00000034365" "nd2" "MT" 3969 5004 "NADH dehydrogenase subunit 2 [Source:Xenbase;Acc:XB-GENE-6454984]"
"ENSXETG00000034366" "" "MT" 5005 5073 ""
"ENSXETG00000034367" "" "MT" 5077 5145 ""
"ENSXETG00000034368" "" "MT" 5147 5219 ""
"ENSXETG00000034369" "" "MT" 5258 5323 ""
"ENSXETG00000034370" "" "MT" 5324 5393 ""
"ENSXETG00000034371" "COX1" "MT" 5395 6951 "cytochrome c oxidase subunit I [Source:NCBI gene (formerly Entrezgene);Acc:3283494]"
"ENSXETG00000034372" "" "MT" 6954 7024 ""
"ENSXETG00000034373" "" "MT" 7040 7108 ""
"ENSXETG00000034374" "cox2" "MT" 7111 7798 "mitochondrially encoded cytochrome c oxidase II [Source:Xenbase;Acc:XB-GENE-22250304]"
"ENSXETG00000034375" "" "MT" 7799 7872 ""
"ENSXETG00000034376" "ATP8" "MT" 7874 8041 "ATP synthase F0 subunit 8 [Source:NCBI gene (formerly Entrezgene);Acc:3283496]"
"ENSXETG00000034377" "ATP6" "MT" 8032 8714 "ATP synthase F0 subunit 6 [Source:NCBI gene (formerly Entrezgene);Acc:3283497]"
"ENSXETG00000034378" "cox3" "MT" 8715 9498 "mitochondrially encoded cytochrome c oxidase III [Source:Xenbase;Acc:XB-GENE-6485458]"
"ENSXETG00000034379" "" "MT" 9499 9568 ""
"ENSXETG00000034380" "nd3" "MT" 9569 9911 "mitochondrially encoded NADH dehydrogenase subunit 3 [Source:Xenbase;Acc:XB-GENE-6485496]"
"ENSXETG00000034381" "" "MT" 9912 9980 ""
"ENSXETG00000034382" "nd4l" "MT" 9981 10277 "NADH dehydrogenase subunit 4L [Source:Xenbase;Acc:XB-GENE-6454958]"
"ENSXETG00000034383" "nd4" "MT" 10271 11648 "NADH dehydrogenase subunit 4 [Source:Xenbase;Acc:XB-GENE-6454957]"
"ENSXETG00000034384" "" "MT" 11649 11717 ""
"ENSXETG00000034385" "" "MT" 11718 11785 ""
"ENSXETG00000034386" "" "MT" 11786 11858 ""
"ENSXETG00000034387" "nd5" "MT" 11859 13676 "NADH dehydrogenase subunit 5 [Source:Xenbase;Acc:XB-GENE-6454956]"
"ENSXETG00000034388" "nd6" "MT" 13668 14186 "NADH dehydrogenase subunit 6 [Source:Xenbase;Acc:XB-GENE-6454955]"
"ENSXETG00000034389" "" "MT" 14187 14255 ""
"ENSXETG00000034390" "cytb" "MT" 14258 15399 "mitochondrially encoded cytochrome b [Source:Xenbase;Acc:XB-GENE-6454954]"
"ENSXETG00000034391" "" "MT" 15400 15470 ""
"ENSXETG00000034392" "" "MT" 15500 15566 ""
"ENSXETG00000045641" "" "Chr1" 140935835 140936140 ""
"ENSXETG00000042394" "" "Chr1" 141013134 141013439 ""
"ENSXETG00000041794" "" "Chr1" 141107428 141107733 ""
"ENSXETG00000042931" "" "Chr1" 141212000 141215045 ""
"ENSXETG00000037518" "" "Chr1" 9658017 9658313 ""
"ENSXETG00000047232" "" "Chr1" 502851 516568 ""
"ENSXETG00000047867" "" "Chr1" 432066 447633 ""
"ENSXETG00000046667" "" "Chr1" 26787 30692 ""
"ENSXETG00000036341" "fat4" "Chr1" 65013515 65176489 "FAT atypical cadherin 4 [Source:Xenbase;Acc:XB-GENE-981052]"
"ENSXETG00000044936" "npffr2" "Chr1" 80727184 80795018 "neuropeptide FF receptor 2 [Source:Xenbase;Acc:XB-GENE-994428]"
"ENSXETG00000047955" "" "Chr1" 63607887 63609218 ""
"ENSXETG00000042071" "" "Chr1" 63613802 63614887 ""
"ENSXETG00000048632" "" "Chr1" 63619143 63632636 ""
"ENSXETG00000043217" "" "Chr1" 63637495 63639012 ""
"ENSXETG00000044905" "" "Chr1" 63649426 63650681 ""
"ENSXETG00000041504" "" "Chr1" 63650751 63651661 ""
"ENSXETG00000048207" "" "Chr1" 63652531 63653879 ""
